gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744,Average
Ccera-CLP2057ext_SVMPIII-4_extContig544_-_CDS,Toxin,SVMPIII,6721.32,2710.87,10508.95,723.12,6084.1,1367.98,4091.78,1141.36,4168.685
Ccera-CLP2105ext_CTL-2_extContig331_-_CDS,Toxin,CTL,930.32,5114.59,325.92,545.18,18711.9,754.85,2232.01,832.61,3680.9225
Ccera-CLP2057ext_MYO-2_ngenContig2065_-_CDS,Toxin,MYO,1881.3,9759.04,1421.59,318.19,9072.29,37.05,87.9,21.95,2824.91375
Ccera-CLP2065ngen_SVSP-3_ngenContig5054_-_CDS_-_CDS,Toxin,SVSP,112.41,9197.79,2604.86,0.52,462.09,248.54,6037.56,2750.31,2676.76
Ccera-CLP2068ngen_Vespryn-1_ngenContig356_-_CDS_-_CDS,Toxin,Vespryn,2974.79,2174.66,1395.24,2574.81,1060.16,2137.14,2978.69,2481.01,2222.0625
Ccera-CLP2057ext_SVSP-2_extContig69_-_CDS,Toxin,SVSP,3506.75,1367.51,2519.59,5008.58,1875.25,754.96,112.61,1422.42,2070.95875
Ccera-CLP2057ext_SVMPIII-2_extContig390_-_CDS,Toxin,SVMPIII,5948.15,596.55,2565.26,1419.76,714.44,1302.21,1614.82,2204.19,2045.6725
Ccera-CLP2137ngen_3FTx-3_ngenContig4025_-_CDS,Toxin,3FTx,18.19,524.31,5630.35,7631.34,0,30.3,1691.1,10.6,1942.02375
Ccera-CLP2057ext_SVSP-11_ngenContig889_-_CDS,Toxin,SVSP,3018.37,1027.31,2076.8,146.56,2654.59,1358.91,3553.46,539.5,1796.9375
Ccera-CLP2105ext_SVMPII-4_extContig172_-_CDS,Toxin,SVMPII,15.31,65.2,1621.13,44.13,4431.24,105.13,3150.63,1513.22,1368.24875
Ccera-CLP2057ext_NUC-1a_ngenContig1600_-_CDS,Toxin,NUC,1040.5,1488.71,959.57,1579.61,883.26,1190.47,1835.25,1160.6,1267.24625
Ccera-CLP2065ngen_SVMPII-3a_ngenContig2887_-_CDS_-_CDS,Toxin,SVMPII,622.32,1021.41,2075.49,10.24,2545.35,726.24,1918.58,891.34,1226.37125
Ccera-CLP2057ext_SVSP-1_ngenContig897_-_CDS,Toxin,SVSP,1389.61,1534.25,1714.34,361.76,1308.36,1111.48,728.88,1263.97,1176.58125
Ccera-CLP2105ngen_SVSP-10_ngenContig295_-_CDS,Toxin,SVSP,229.11,1011.26,2858.78,78.53,997.17,446.65,707.78,769.09,887.29625
Ccera-CLP2137ngen_PDE-1_ngenContig692_-_CDS,Toxin,PDE,573.32,405.18,541.87,795.02,366.51,703.59,893.66,764.18,630.41625
Ccera-CLP2057ext_HYAL-1_ngenContig73_-_CDS,Toxin,HYAL,736.2,369.48,650.33,682.21,528.13,583.32,591.97,697.08,604.84
Ccera-CLP2057ext_VEGF-2_ngenContig728_-_CDS,Toxin,VEGF,172.58,381.73,171.89,129.45,249.18,384.49,478.9,148.36,264.5725
Ccera-CLP2057ext_KUN-1_ngenContig2468_-_CDS,Toxin,KUN,110.68,207.29,90.76,154.03,128.67,228.71,146.08,98.9,145.64
Ccera-CLP2071ngen_CTL-6_ngenContig1557_-_CDS,Toxin,CTL,2.2,2.66,79.26,264.18,22.24,1.23,5.77,767.79,143.16625
Ccera-CLP2071ngen_CTL-4_ngenContig5757_-_CDS,Toxin,CTL,17.41,6.55,59.15,594.89,0.65,13.51,62.75,0.46,94.42125
Ccera-CLP2065ngen_Waprin-1_ngenContig591_-_CDS_-_CDS,Toxin,Waprin,19.44,86.24,38.56,108.9,24.9,88.38,40.46,63.59,58.80875
Ccera-CLP2071ngen_CTL-3_ngenContig5760_-_CDS,Toxin,CTL,2.27,11.25,81.27,350.83,0,1.32,0.92,0,55.9825
Ccera-CLP2071_FusedToxin_ngenContig419_-_CDS,Toxin,FusedToxin,0,0,7.4,229.18,0,0,10.13,0,30.83875
Ccera-CLP2071ngen_3FTx-2_ngenContig3932_-_CDS,Toxin,3FTx,0,4.66,27.07,119.21,0,0,4.94,0,19.485
Ccera-CLP2071ngen_Ficolin-5_ngenContig3295_-_CDS,Toxin,Ficolin,0.41,1.25,8.4,130.33,0.85,0.23,7.6,4.38,19.18125
Ccera-CLP2071ngen_Ficolin-5_ngenContig3293_-_CDS,Toxin,Ficolin,1.01,5.81,16.83,69.98,2.27,0.23,8.71,3.9,13.5925
Ccera-KW1744ext_PDI_extContig168_-_CDS,nontoxin,Nontoxin,10759.37,15952.93,10511.69,11827.25,7096.83,8573.35,22779.16,24292.09,13974.08375
Ccera-CLP2057ext_RpS12_extContig28_-_CDS,n,Nontoxin,6135.31,3514.98,4654.14,4424.56,5160.47,3324.5,7389.76,8110.46,5339.2725
Ccera-CLP2057ext_EF-1a1_extContig268_-_CDS,N,Nontoxin,3397.07,3740.18,5934.09,5181.43,2153.98,2711.49,8757.1,9438.65,5164.24875
Ccera-CLP2057ext_RpL23_extContig38_-_CDS,Nontox,Nontoxin,5293.33,4627.68,6436.61,2122.62,2718.75,1943.76,6724.29,9609.11,4934.51875
Ccera-CLP2057ext_Parvalbumin_extContig159_-_CDS,nontox,Nontoxin,6487.88,17577.95,1834.21,2439.22,158.87,1373.61,641.69,1771.37,4035.6
Ccera-CLP2057ext_RpS20_extContig334_-_CDS,Nontoxin,Nontoxin,2855.05,3117.08,4592.34,3640.76,1341.89,1933.19,5189.46,8600.72,3908.81125
Ccera-CLP2057ext_RpL37_ngenContig325_-_CDS,Nontoxin,Nontoxin,3599.11,2746.85,4578.72,2981.33,1347.15,1876.22,5149.66,7692.53,3746.44625
Ccera-CLP2137ngen_RpL29_ngenContig5592_-_CDS,Nontoxin,Nontoxin,2757.38,3634.74,3718.13,3356.33,1860.4,2273.93,4816.32,7535.03,3744.0325
Ccera-CLP2057ext_RpSA_extContig358_-_CDS,Nontoxin,Nontoxin,5824.92,2854.41,4792.57,1261.21,2711.18,1441.07,4944.01,5257.28,3635.83125
Ccera-CLP2057ext_RpL10_extContig417_-_CDS,Nontoxin,Nontoxin,3198.88,2596.12,4381.13,2770.16,2000.02,2511.47,6581.12,4349.32,3548.5275
Ccera-CLP2057ext_MyosinLight_ngenContig1558_-_CDS,Nontoxin,Nontoxin,3028.48,17969.3,1323.67,2539.22,181.58,755.62,483.55,1310.33,3448.96875
Ccera-CLP2057ext_RpL27_extContig136_-_CDS,Nontoxin,Nontoxin,3345.41,2905.47,4849.77,1607.77,2009.73,1081.41,5041.51,6619.28,3432.54375
Ccera-CLP2057ext_RpS15_ngenContig567_-_CDS,Nontoxin,Nontoxin,2983.58,1853.81,2090.01,3254.2,1172.93,2666.5,4283.91,6727.86,3129.1
Ccera-CLP2057ext_Rpl37a_ngenContig3348_-_CDS,Nontoxin,Nontoxin,3734.07,2483.2,4062.5,2532.91,1608.74,2432.28,3466.19,4422.33,3092.7775
Ccera-CLP2057ext_Sec61g_extContig109_-_CDS,Nontoxin,Nontoxin,3597.88,2809.83,3878.04,1266.31,1729.42,1021.37,4376.41,5791.79,3058.88125
Ccera-CLP2057ext_RpL14_extContig328_-_CDS,Nontoxin,Nontoxin,2857.7,2852.55,4380.61,1505.05,1503.51,1081.31,4493.65,5575.47,3031.23125
Ccera-CLP2057ext_RpS27a_extContig395_-_CDS,Nontoxin,Nontoxin,2868.26,2525.4,3504.98,2740.04,1436.87,1857.56,3907.9,4788.24,2953.65625
Ccera-CLP2057ext_RpL35_extContig184_-_CDS,Nontoxin,Nontoxin,2407.8,3790.78,3013.44,3468.52,1674.84,2614.77,3306.66,3143.75,2927.57
Ccera-CLP2057ext_RpL15_extContig329_-_CDS,Nontoxin,Nontoxin,2744.69,2964.97,4130.74,1383.45,1696.24,1237.72,4105.2,4643.87,2863.36
Ccera-CLP2057ext_RpS15a_extContig118_-_CDS,Nontoxin,Nontoxin,1894.72,2783.62,3220.85,3107.53,1146.67,2043.93,3733.39,4974.38,2863.13625
Ccera-CLP2057ext_RpL31_ngenContig4463_-_CDS,Nontoxin,Nontoxin,2816.57,2306.25,3243.43,2159.99,1281.62,1822.73,3636.76,4089.2,2669.56875
Ccera-CLP2057ext_RpS3a_ngenContig4511_-_CDS,Nontoxin,Nontoxin,2577.81,2051.68,3166.26,2527.6,1279.42,1649.91,3467.57,4388.25,2638.5625
Ccera-CLP2057ext_RpS4_ngenContig793_-_CDS,Nontoxin,Nontoxin,2318.28,2133.03,2989.01,2671.66,1234.06,1600.18,3482.49,4567.27,2624.4975
Ccera-CLP2057ext_RpL36a_ngenContig509_-_CDS,Nontoxin,Nontoxin,2910.13,2706.15,2994.94,2568.5,1333.64,1876.05,2737.09,3611.99,2592.31125
Ccera-CLP2057ext_RpL17_ngenContig4860_-_CDS,Nontoxin,Nontoxin,2281.31,1793.28,2342.73,2031.92,1324.66,1799.63,3129.09,4246.42,2368.63
Ccera-CLP2065ngen_RpS10_ngenContig6589_-_CDS,Nontoxin,Nontoxin,1747.55,2124.6,2666.21,2190.78,1303.7,1399.74,2979.75,4455.55,2358.485
Ccera-CLP2057ext_RpL18a_ngenContig3616_-_CDS,Nontoxin,Nontoxin,1760.03,1547.65,2863.99,2100.37,895.54,1350.08,3213.15,4884.77,2326.9475
