gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744
Ccera-CLP2057ext_SVMPIII-2_extContig390_-_CDS,Toxin,SVMPIII,58713.2,4902.46,20018.8,15018.29,6950.01,11451.77,12160.54,24783.99
Ccera-CLP2057ext_SVSP-4a_extContig5_-_CDS,Toxin,SVSP,83121.87,96124.05,105919.24,41987.81,50032.84,89846.59,36895.87,29217.79
Ccera-CLP2057_SVSP_extContig285_-_CDS,Toxin,SVSP,100858.01,26249.92,37861.72,18449.83,39945.48,41078.47,29072.23,64703.95
Ccera-CLP2057_SVSP_extContig10_-_CDS,Toxin,SVSP,68054.41,50567.05,42314.68,11357.36,40789.42,41821.2,33408.63,31831.34
Ccera-CLP2057_SVSP_extContig106_-_CDS,Toxin,SVSP,28130.35,59011.68,44322.94,2678.12,43587.98,28627.38,45470.17,53915.9
Ccera-CLP2057ext_SVSP-6_ngenContig894_-_CDS,Toxin,SVSP,9827.05,31918.61,37665.05,838,21420.58,30031.48,23510.18,27411.9
Ccera-CLP2057_SVSP_extContig97_-_CDS,Toxin,SVSP,31213.61,13874.25,18099.42,4418,13624.33,23931.03,8455.22,22130.33
Ccera-CLP2057_SVSP_ngenContig890_-_CDS,Toxin,SVSP,21904.15,8171.17,10194.65,20179.96,22989.87,7094.83,15095.4,18456.07
Ccera-CLP2057_SVSP_extContig18_-_CDS,Toxin,SVSP,31926.06,17962.89,12828.21,4596.46,13890.26,15247.44,13426.22,13799
Ccera-CLP2057_SVSP_extContig545_-_CDS,Toxin,SVSP,29011.95,10314.98,12556.05,492.19,162.89,11838.04,24904.3,20460.56
Ccera-CLP2057ext_SVSP-5a_extContig457_-_CDS,Toxin,SVSP,12515.02,20243.99,38346.05,1779.86,6.83,31292.88,1814.72,1615.01
Ccera-CLP2065ngen_SVSP-3_ngenContig5054_-_CDS_-_CDS,Toxin,SVSP,404.97,27528.52,7401.84,2,1612,798.98,16606.89,11234.55
Ccera-CLP2057ext_SVSP-2_extContig69_-_CDS,Toxin,SVSP,12819.64,4153.44,7265.49,19583.69,6640.94,2462.67,314.31,5896.64
Ccera-CLP2057ext_SVSP-11_ngenContig889_-_CDS,Toxin,SVSP,10767.07,3044.37,5843.09,559.15,9166.96,4325.67,9678.17,2181.95
Ccera-CLP2057ext_SVSP-1_ngenContig897_-_CDS,Toxin,SVSP,4981.59,4569.28,4847.35,1387,4541.14,3555.58,1995,5137.54
Ccera-CLP2105ngen_SVSP-10_ngenContig295_-_CDS,Toxin,SVSP,817.26,2996.79,8043.21,299.58,3443.47,1421.76,1927.7,3110.48
Ccera-CLP2057ext_VEGF-1_extContig1_-_CDS,Toxin,VEGF,38910,15529,4594,88194,4287,23472,5888,4057
Ccera-CLP2057ext_VEGF-2_ngenContig728_-_CDS,Toxin,VEGF,417,765,327,334,575,830,884,405
Ccera-CLP2068ngen_Vespryn-1_ngenContig356_-_CDS_-_CDS,Toxin,Vespryn,8768,5321,3241,8111,3007,5624,6705,8278
Ccera-CLP2065ngen_Waprin-1_ngenContig591_-_CDS_-_CDS,Toxin,Waprin,27,99,42,161,32,110,43,99
Ccera-CLP2065ngen_14-3-3-ba_ngenContig5107_-_CDS,Nontoxin,Nontoxin,45,105,75,103,65,79,86,95
Ccera-CLP2057ext_14-3-3-e_ngenContig4213_-_CDS,Nontoxin,Nontoxin,311,767,350,448,492,667,585,600
Ccera-CLP2071ngen_14-3-3-s_ngenContig5132_-_CDS,Nontoxin,Nontoxin,11,22,38,147,17,18,40,22
Ccera-CLP2057ext_14-3-3-t_ngenContig2788_-_CDS,Nontoxin,Nontoxin,718,1039,1201,1677,925,1379,1344,1505
Ccera-CLP2057ext_14-3-3-z_ngenContig2789_-_CDS,Nontoxin,Nontoxin,296,782,1015,499,610,662,831,481
Ccera-CLP2057ext_15kDaSeleno_ngenContig4398_-_CDS,Nontoxin,Nontoxin,108,106,165,133,98,158,137,104
Ccera-CLP2071ngen_25OligSyn1_ngenContig2556_-_CDS,Nontoxin,Nontoxin,27,1270,72,347,25,1801,5,244
Ccera-CLP2057ext_26SnonATP3_ngenContig98_-_CDS,Nontoxin,Nontoxin,401,676,444,360,650,359,778,694
Ccera-CLP2068ngen_26SnonATPase11_ngenContig2550_-_CDS,Nontoxin,Nontoxin,106,121,180,43,132,82,224,92
Ccera-CLP2105ngen_26SProt2_ngenContig3450_-_CDS,Nontoxin,Nontoxin,493,770,427,884,653,816,788,505
Ccera-CLP2057ext_26SregS10B_ngenContig3954_-_CDS,Nontoxin,Nontoxin,417,395,531,330,323,414,606,389
Ccera-CLP2065ngen_28SribS25_ngenContig4088_-_CDS,Nontoxin,Nontoxin,14,74,50,44,47,51,60,40
Ccera-KW1109ngen_28SribS36_ngenContig5248_-_CDS,Nontoxin,Nontoxin,17,28,27,40,19,15,22,55
Ccera-CLP2057ext_28SrpS23_ngenContig1713_-_CDS,Nontoxin,Nontoxin,88,68,88,103,26,73,78,174
Ccera-CLP2068ngen_2OxyglutarateDH_ngenContig1736_-_CDS,Nontoxin,Nontoxin,374,457,472,337,353,347,263,304
Ccera-CLP2057ext_39SL21_ngenContig1547_-_CDS,Nontoxin,Nontoxin,199,199,299,228,221,253,280,213
Ccera-CLP2065ngen_39SL4_ngenContig1113_-_CDS,Nontoxin,Nontoxin,64,137,68,129,80,95,74,117
Ccera-CLP2071ngen_39SL46_ngenContig4852_-_CDS,Nontoxin,Nontoxin,68,112,64,150,53,91,165,201
Ccera-CLP2071ngen_39SrpL24_ngenContig6518_-_CDS,Nontoxin,Nontoxin,148,66,22,251,151,224,186,220
Ccera-CLP2057ext_3bHDDIsom_ngenContig4815_-_CDS,Nontoxin,Nontoxin,895,313,133,305,319,413,341,885
Ccera-CLP2065ngen_3bHDDIsom_ngenContig6131_-_CDS,Nontoxin,Nontoxin,37,91,39,100,62,93,200,163
Ccera-CLP2057ext_40SrpS13_ngenContig4462_-_CDS,Nontoxin,Nontoxin,2638,1838,2573,2635,1609,1629,3495,5597
Ccera-CLP2057ext_53Exorib2_ngenContig1782_-_CDS,Nontoxin,Nontoxin,362,458,617,497,412,478,548,831
Ccera-CLP2105ngen_60SAcRibP1_ngenContig612_-_CDS,Nontoxin,Nontoxin,1490,2405,788,2726,1204,1659,1535,3811
Ccera-CLP2057ext_60SrpL4_ngenContig819_-_CDS,Nontoxin,Nontoxin,4522,6288,4932,10672,3649,4590,9028,17590
Ccera-CLP2057ext_6PhosDeh_ngenContig988_-_CDS,Nontoxin,Nontoxin,391,872,709,1154,580,785,775,663
Ccera-CLP2065ngen_A13MG2bN_ngenContig1786_-_CDS,Nontoxin,Nontoxin,69,158,94,119,87,114,124,68
Ccera-CLP2065ngen_AATransporter1_ngenContig636_-_CDS,Nontoxin,Nontoxin,442,395,642,515,103,317,341,401
Ccera-CLP2065ngen_AATransporter3_ngenContig865_-_CDS,Nontoxin,Nontoxin,154,386,158,187,163,245,247,365
Ccera-CLP2057ext_Abhydrolase13_ngenContig2796_-_CDS,Nontoxin,Nontoxin,178,167,303,210,218,268,292,217
Ccera-KW1109ngen_Abhydrolase14A_ngenContig3438_-_CDS,Nontoxin,Nontoxin,34,36,56,91,35,59,66,92
