gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744
Ccera-CLP2057ext_CreatineKin_ngenContig4614_-_CDS,Nontoxin,Nontoxin,6147,18356,651,6362,293,1815,972,15683
Ccera-CLP2109ngen_CreatineKinU_ngenContig5300_-_CDS,Nontoxin,Nontoxin,120,323,142,410,157,221,95,165
Ccera-KW1109ngen_Crystallin-z_ngenContig3687_-_CDS,Nontoxin,Nontoxin,66,32,37,72,31,65,51,107
Ccera-CLP2057ext_CSL4_ngenContig933_-_CDS,Nontoxin,Nontoxin,37,56,59,64,32,63,46,56
Ccera-CLP2065ngen_CTDP2_ngenContig5165_-_CDS,Nontoxin,Nontoxin,91,198,133,142,163,129,163,206
Ccera-CLP2105ngen_CTerminalBinding1_ngenContig266_-_CDS,Nontoxin,Nontoxin,151,269,67,179,186,286,205,238
Ccera-CLP2068ngen_Cullin1_ngenContig739_-_CDS,Nontoxin,Nontoxin,306,408,395,282,301,279,369,457
Ccera-CLP2065ngen_Cullin2_ngenContig5084_-_CDS,Nontoxin,Nontoxin,182,375,371,205,260,140,352,297
Ccera-CLP2057ext_Cullin3_ngenContig2384_-_CDS,Nontoxin,Nontoxin,564,713,658,747,907,665,898,654
Ccera-CLP2071ngen_CuUptake1_ngenContig6274_-_CDS,Nontoxin,Nontoxin,37,48,31,34,54,29,34,17
Ccera-CLP2057ext_CWC15_ngenContig2287_-_CDS,Nontoxin,Nontoxin,97,217,89,175,110,146,124,164
Ccera-CLP2065ngen_CXorf56_ngenContig5559_-_CDS,Nontoxin,Nontoxin,71,167,76,152,91,98,113,116
Ccera-CLP2057ext_CycCO6B1_ngenContig2883_-_CDS,Nontoxin,Nontoxin,233,173,285,284,123,119,281,425
Ccera-CLP2068ngen_CycKinInh1_ngenContig3249_-_CDS,Nontoxin,Nontoxin,20,47,36,61,17,27,42,80
Ccera-KW1109ngen_Cyclin-H1_ngenContig1177_-_CDS,Nontoxin,Nontoxin,49,55,61,57,49,33,57,94
Ccera-CLP2071ngen_Cyclin-I_ngenContig2425_-_CDS,Nontoxin,Nontoxin,131,204,65,214,68,105,125,324
Ccera-CLP2071ngen_CyclinDepKin-5_ngenContig5392_-_CDS,Nontoxin,Nontoxin,70,77,18,99,74,81,42,110
Ccera-KW1109ngen_CyclinY_ngenContig263_-_CDS,Nontoxin,Nontoxin,102,126,105,143,119,121,209,167
Ccera-CLP2065ngen_CysGlutTrans_ngenContig1841_-_CDS,Nontoxin,Nontoxin,62,234,30,16,187,28,125,78
Ccera-CLP2057ext_CysGly1_ngenContig2669_-_CDS,Nontoxin,Nontoxin,106,98,121,139,74,102,201,268
Ccera-CLP2057ext_CysProt-ATG4A_ngenContig708_-_CDS,Nontoxin,Nontoxin,111,109,64,116,132,87,58,95
Ccera-CLP2105ngen_CysProt-ATG4C_ngenContig4867_-_CDS,Nontoxin,Nontoxin,87,87,111,96,93,129,132,96
Ccera-CLP2065ngen_CysString_ngenContig945_-_CDS,Nontoxin,Nontoxin,8,33,22,37,29,27,30,20
Ccera-CLP2057ext_CystathioneBSyn_ngenContig2739_-_CDS,Nontoxin,Nontoxin,359,539,430,361,249,385,406,504
Ccera-CLP2057ext_CystathioneLyase_ngenContig3021_-_CDS,Nontoxin,Nontoxin,309,298,157,273,154,241,222,158
Ccera-CLP2057ext_Cystatin_ngenContig2153_-_CDS,Nontoxin,Nontoxin,144,262,148,264,117,190,155,218
Ccera-CLP2057ext_CystatinB_ngenContig2688_-_CDS,Nontoxin,Nontoxin,40,67,70,110,30,45,57,67
Ccera-CLP2105ngen_CystNeph_ngenContig4056_-_CDS,Nontoxin,Nontoxin,119,130,90,138,98,172,236,156
Ccera-CLP2065ngen_Cyt-b561_ngenContig3226_-_CDS,Nontoxin,Nontoxin,69,214,140,111,82,113,127,171
Ccera-CLP2065ngen_CytB-c1-2_ngenContig1589_-_CDS,Nontoxin,Nontoxin,502,687,706,1064,691,699,621,750
Ccera-CLP2057ext_Cytb-c1-6_ngenContig557_-_CDS,Nontoxin,Nontoxin,201,158,202,168,103,138,167,182
Ccera-CLP2057ext_CytB-c1-8_ngenContig4299_-_CDS,Nontoxin,Nontoxin,79,110,91,141,49,67,98,123
Ccera-CLP2057ext_CytB-c1-9_ngenContig55_-_CDS,Nontoxin,Nontoxin,166,57,15,146,47,82,115,123
Ccera-CLP2057ext_Cytb5_ngenContig1169_-_CDS,Nontoxin,Nontoxin,222,204,276,189,143,267,283,193
Ccera-CLP2057ext_CytBRed1_ngenContig331_-_CDS,Nontoxin,Nontoxin,333,650,79,333,199,314,504,399
Ccera-CLP2057ext_CytC_ngenContig644_-_CDS,Nontoxin,Nontoxin,205,135,160,82,108,60,159,127
Ccera-CLP2071ngen_CytC-c1-1_ngenContig5265_-_CDS,Nontoxin,Nontoxin,646,686,854,848,559,709,756,712
Ccera-CLP2057ext_CytcCOIV_ngenContig2047_-_CDS,Nontoxin,Nontoxin,400,433,567,513,203,307,429,696
Ccera-CLP2057ext_CytCCuChap_ngenContig1214_-_CDS,Nontoxin,Nontoxin,107,15,7,103,23,68,104,222
Ccera-CLP2071ngen_CytCO5B_ngenContig3237_-_CDS,Nontoxin,Nontoxin,401,331,370,522,285,442,264,901
Ccera-CLP2071ngen_CytCO6A1_ngenContig2587_-_CDS,Nontoxin,Nontoxin,277,373,134,524,217,532,224,507
Ccera-CLP2057ext_CytCO7A_ngenContig1395_-_CDS,Nontoxin,Nontoxin,28,79,49,79,32,53,77,60
Ccera-CLP2057ext_CytCO7A2_ngenContig1691_-_CDS,Nontoxin,Nontoxin,90,71,94,68,50,80,92,102
Ccera-CLP2057ext_CytCO7C_ngenContig3719_-_CDS,Nontoxin,Nontoxin,215,151,166,140,74,147,178,246
Ccera-CLP2057ext_CytCOVIIb_ngenContig1934_-_CDS,Nontoxin,Nontoxin,190,107,162,122,67,115,130,239
Ccera-CLP2068ngen_CytCRed-CBP3_ngenContig2271_-_CDS,Nontoxin,Nontoxin,117,70,107,118,61,141,109,97
Ccera-CLP2105ngen_Cytidylyltransferase_ngenContig5030_-_CDS,Nontoxin,Nontoxin,84,68,75,146,97,112,77,86
Ccera-CLP2057ext_CytP4502-20A1_ngenContig1950_-_CDS,Nontoxin,Nontoxin,321,346,308,445,362,330,277,546
Ccera-CLP2057ext_d3PGDH_ngenContig4152_-_CDS,Nontoxin,Nontoxin,863,1263,512,796,430,520,798,1308
Ccera-CLP2057ext_DAD1_ngenContig3627_-_CDS,Nontoxin,Nontoxin,407,376,257,688,592,748,458,392
Ccera-CLP2057ext_DAZ-2_ngenContig4520_-_CDS,Nontoxin,Nontoxin,49,120,86,152,55,62,106,164
Ccera-CLP2105ngen_DB1CUL4_ngenContig50_-_CDS,Nontoxin,Nontoxin,87,242,80,180,129,167,111,128
Ccera-CLP2065ngen_DCN1-5_ngenContig6814_-_CDS,Nontoxin,Nontoxin,40,92,62,51,48,47,47,45
Ccera-CLP2137ngen_DDB1-7_ngenContig2669_-_CDS,Nontoxin,Nontoxin,82,89,97,87,88,91,176,155
Ccera-CLP2109ngen_DDB1-CUL4-11_ngenContig3078_-_CDS,Nontoxin,Nontoxin,163,261,43,208,132,185,228,282
Ccera-KW1109ngen_DDB1-CUL4-8_ngenContig6946_-_CDS,Nontoxin,Nontoxin,250,309,91,372,265,446,275,300
Ccera-CLP2057ext_DDPOS_ngenContig2593_-_CDS,Nontoxin,Nontoxin,1781,1794,1948,2281,2017,2031,2991,2893
Ccera-CLP2109ngen_DDPOS48_ngenContig3738_-_CDS,Nontoxin,Nontoxin,1629,1724,1013,1866,1892,2214,1521,2142
Ccera-CLP2105ngen_DDPOSGT-STT3B_ngenContig262_-_CDS,Nontoxin,Nontoxin,1903,1796,1664,739,1924,922,1624,1777
Ccera-CLP2057ext_DDPOSPGT-STT3A_ngenContig3228_-_CDS,Nontoxin,Nontoxin,2356,1658,2177,2301,2277,2071,1199,2426
Ccera-CLP2057ext_DDPOSPGT2_ngenContig473_-_CDS,Nontoxin,Nontoxin,3868,2755,3533,3025,2532,2680,2911,5275
Ccera-CLP2057ext_Deacylase1_ngenContig920_-_CDS,Nontoxin,Nontoxin,59,98,58,62,49,58,58,126
Ccera-CLP2137ngen_DEAD41_ngenContig1224_-_CDS,Nontoxin,Nontoxin,346,364,386,456,427,589,361,274
Ccera-KW1109ngen_DeathAscKin2_ngenContig7524_-_CDS,Nontoxin,Nontoxin,81,105,22,106,79,113,72,180
Ccera-CLP2057ext_DeathAss1_extContig505_-_CDS,Nontoxin,Nontoxin,335,308,475,547,231,393,382,435
Ccera-CLP2057ext_Decorin_ngenContig3379_-_CDS,Nontoxin,Nontoxin,852,134,608,204,128,215,547,279
Ccera-CLP2057ext_DehydrocholesterolRed_ngenContig2575_-_CDS,Nontoxin,Nontoxin,253,760,592,725,372,481,653,694
Ccera-CLP2071ngen_DehydrodolichylDiPSyn_ngenContig6752_-_CDS,Nontoxin,Nontoxin,38,63,51,84,60,61,53,55
Ccera-CLP2065ngen_DensityReg_ngenContig6432_-_CDS,Nontoxin,Nontoxin,79,122,109,102,94,110,98,178
Ccera-CLP2065ngen_Derlin1_ngenContig6534_-_CDS,Nontoxin,Nontoxin,121,249,234,220,243,354,264,183
Ccera-CLP2057ext_Derlin2_ngenContig365_-_CDS,Nontoxin,Nontoxin,276,396,354,219,277,389,363,266
Ccera-CLP2057ext_DES1_ngenContig1105_-_CDS,Nontoxin,Nontoxin,236,182,430,524,95,182,467,237
Ccera-CLP2057ext_DET1_ngenContig1909_-_CDS,Nontoxin,Nontoxin,22,53,31,24,26,21,32,46
Ccera-CLP2057ext_DevRegGTP1_ngenContig629_-_CDS,Nontoxin,Nontoxin,90,164,125,169,115,145,141,158
Ccera-CLP2109ngen_DH-SDR_ngenContig1380_-_CDS,Nontoxin,Nontoxin,84,95,58,171,49,99,76,111
Ccera-CLP2057ext_Diablo_ngenContig3677_-_CDS,Nontoxin,Nontoxin,71,123,40,156,77,100,67,117
Ccera-CLP2109ngen_DiacylglycerolLipase-a_ngenContig2314_-_CDS,Nontoxin,Nontoxin,111,310,311,189,154,573,354,92
Ccera-CLP2057ext_dickkopf3_ngenContig2165_-_CDS,Nontoxin,Nontoxin,91,32,110,85,25,44,107,70
Ccera-CLP2109ngen_DiGeorge2_ngenContig3766_-_CDS,Nontoxin,Nontoxin,119,205,89,101,129,189,140,135
Ccera-CLP2057ext_DihydRed_ngenContig1408_-_CDS,Nontoxin,Nontoxin,97,152,76,186,72,162,149,179
Ccera-CLP2071ngen_DihydrolipoylDH_ngenContig5801_-_CDS,Nontoxin,Nontoxin,186,261,195,322,207,244,195,262
Ccera-CLP2057ext_Dimethylaminohydrolase1_ngenContig3530_-_CDS,Nontoxin,Nontoxin,239,297,241,294,232,247,310,324
Ccera-CLP2071ngen_Dioxygenase_ngenContig1131_-_CDS,Nontoxin,Nontoxin,113,98,64,133,87,74,111,178
Ccera-CLP2057ext_Dipeptidase_ngenContig2664_-_CDS,Nontoxin,Nontoxin,451,286,556,389,386,449,521,366
Ccera-CLP2071ngen_DipeptidylPeptidase3_ngenContig4556_-_CDS,Nontoxin,Nontoxin,221,371,231,372,331,429,257,313
Ccera-CLP2071ngen_DiphosphomevalonateDecarb_ngenContig6938_-_CDS,Nontoxin,Nontoxin,101,147,38,302,74,257,91,159
Ccera-CLP2057ext_DJ1_ngenContig4369_-_CDS,Nontoxin,Nontoxin,391,457,275,892,285,452,424,844
Ccera-KW1109ngen_DMAT_ngenContig1933_-_CDS,Nontoxin,Nontoxin,52,67,68,50,59,43,56,94
Ccera-CLP2137ngen_DMNOF5_ngenContig4657_-_CDS,Nontoxin,Nontoxin,173,133,114,281,299,228,239,97
Ccera-CLP2065ngen_DNADamage4_ngenContig6636_-_CDS,Nontoxin,Nontoxin,9,113,15,70,10,9,31,72
Ccera-CLP2065ngen_DnaDorRMAPolII_ngenContig148_-_CDS,Nontoxin,Nontoxin,55,82,61,81,47,136,55,42
Ccera-CLP2057ext_dnaJ-A1_ngenContig2660_-_CDS,Nontoxin,Nontoxin,431,234,262,275,266,312,329,138
Ccera-CLP2057ext_dnaJ-B1_ngenContig2623_-_CDS,Nontoxin,Nontoxin,264,143,135,212,135,132,142,180
Ccera-CLP2057ext_DnaJ-B11_ngenContig1428_-_CDS,Nontoxin,Nontoxin,1920,2271,1911,1322,2241,2671,2336,1854
Ccera-CLP2057ext_dnaJ-B14_ngenContig2350_-_CDS,Nontoxin,Nontoxin,197,152,138,152,199,165,232,154
Ccera-CLP2057ext_dnaJ-B9_ngenContig1314_-_CDS,Nontoxin,Nontoxin,704,1110,1056,785,1576,1268,1252,859
Ccera-CLP2071ngen_dnaJ-C15_ngenContig3624_-_CDS,Nontoxin,Nontoxin,48,109,65,119,81,136,123,111
Ccera-CLP2065ngen_dnaJ-C3-1_ngenContig6340_-_CDS,Nontoxin,Nontoxin,2122,2933,2244,1390,2590,2346,2015,1843
Ccera-CLP2071ngen_dnaJ-C3-2_ngenContig3802_-_CDS,Nontoxin,Nontoxin,95,174,158,213,195,258,304,264
Ccera-CLP2057ext_dnaJA2_ngenContig910_-_CDS,Nontoxin,Nontoxin,355,776,387,660,450,530,705,680
Ccera-CLP2071ngen_DnaJC1_ngenContig2721_-_CDS,Nontoxin,Nontoxin,147,454,291,203,262,178,231,360
Ccera-CLP2065ngen_DnaJC21_ngenContig4090_-_CDS,Nontoxin,Nontoxin,403,560,509,440,470,556,630,456
Ccera-CLP2137ngen_DnaJTid1_ngenContig4977_-_CDS,Nontoxin,Nontoxin,121,132,90,155,108,157,173,142
Ccera-CLP2065ngen_DNALyase_ngenContig3339_-_CDS,Nontoxin,Nontoxin,39,127,64,77,63,83,60,116
Ccera-CLP2057ext_DNAPol-b_ngenContig957_-_CDS,Nontoxin,Nontoxin,162,298,190,351,225,176,154,381
Ccera-CLP2065ngen_DnaPolD4_ngenContig4410_-_CDS,Nontoxin,Nontoxin,8,24,10,10,10,11,11,10
Ccera-CLP2057ext_DolicholPMannosyltrans_ngenContig1743_-_CDS,Nontoxin,Nontoxin,89,88,88,90,89,124,117,117
Ccera-CLP2137ngen_DolichPmbReg_ngenContig5510_-_CDS,Nontoxin,Nontoxin,7,10,12,3,6,9,12,9
Ccera-CLP2105ngen_Dolichylphosphatase1_ngenContig1876_-_CDS,Nontoxin,Nontoxin,68,103,77,77,84,125,97,94
Ccera-CLP2057ext_DPbGT_ngenContig1253_-_CDS,Nontoxin,Nontoxin,327,422,416,543,340,421,347,481
Ccera-CLP2057ext_DPCD_ngenContig2426_-_CDS,Nontoxin,Nontoxin,135,82,129,116,67,114,85,130
Ccera-CLP2057ext_DPH3_ngenContig1746_-_CDS,Nontoxin,Nontoxin,15,4,16,12,5,3,8,8
Ccera-CLP2071ngen_DPIPPPH1_ngenContig5305_-_CDS,Nontoxin,Nontoxin,25,56,46,75,29,68,44,66
Ccera-CLP2065ngen_DPP4a_ngenContig844_-_CDS,Nontoxin,Nontoxin,863,891,1204,724,914,782,1055,1411
Ccera-CLP2057ext_Dpy30_ngenContig1926_-_CDS,Nontoxin,Nontoxin,57,92,71,97,50,83,93,136
Ccera-CLP2065ngen_Dpyr5CarSyn_ngenContig6042_-_CDS,Nontoxin,Nontoxin,336,382,282,432,335,521,324,216
Ccera-KW1109ngen_drebrin1_ngenContig7247_-_CDS,Nontoxin,Nontoxin,287,316,190,338,247,342,251,324
Ccera-CLP2071ngen_DualMitKinKin4_ngenContig5933_-_CDS,Nontoxin,Nontoxin,53,106,79,104,67,69,75,102
Ccera-CLP2105ngen_DualSpecKin-CLK3_ngenContig4278_-_CDS,Nontoxin,Nontoxin,141,320,125,234,300,291,206,214
Ccera-CLP2105ngen_DualSpecPP1_ngenContig3897_-_CDS,Nontoxin,Nontoxin,573,948,467,932,1426,461,883,635
Ccera-CLP2071ngen_Dynactin-5_ngenContig5561_-_CDS,Nontoxin,Nontoxin,8,31,21,54,48,73,53,49
Ccera-CLP2057ext_Dynactin2_ngenContig1568_-_CDS,Nontoxin,Nontoxin,135,165,196,232,117,176,220,195
Ccera-CLP2105ngen_Dynactin3_ngenContig2942_-_CDS,Nontoxin,Nontoxin,78,98,85,107,57,131,97,157
Ccera-CLP2137ngen_Dynamin2_ngenContig3209_-_CDS,Nontoxin,Nontoxin,143,254,273,209,216,216,293,274
Ccera-CLP2068ngen_Dynein1_ngenContig4495_-_CDS,Nontoxin,Nontoxin,258,398,347,334,271,316,351,340
Ccera-CLP2057ext_DyneinLight1_ngenContig1925_-_CDS,Nontoxin,Nontoxin,71,112,73,89,70,115,70,46
Ccera-CLP2057ext_DyneinLight2_ngenContig4330_-_CDS,Nontoxin,Nontoxin,35,51,52,56,45,63,59,44
Ccera-CLP2057ext_DyneinLightRdblk2_ngenContig3644_-_CDS,Nontoxin,Nontoxin,164,200,226,249,121,183,210,227
Ccera-CLP2057ext_DyneinTctex1_ngenContig703_-_CDS,Nontoxin,Nontoxin,67,70,54,70,59,68,62,51
Ccera-KW1109ngen_e2FPhos_ngenContig4392_-_CDS,Nontoxin,Nontoxin,36,75,107,79,51,72,85,131
Ccera-CLP2057ext_E3UFM1Lig1_ngenContig2713_-_CDS,Nontoxin,Nontoxin,627,664,833,757,384,443,612,2237
Ccera-KW1109ngen_EAPT1_ngenContig2322_-_CDS,Nontoxin,Nontoxin,100,104,111,124,87,98,95,146
Ccera-CLP2057ext_EDRK1_ngenContig2331_-_CDS,Nontoxin,Nontoxin,133,151,112,158,68,117,172,223
Ccera-CLP2057ext_EF-1a1_extContig268_-_CDS,Nontoxin,Nontoxin,24449,22401,33748,39946,15221,17392,48091,77305
Ccera-CLP2057ext_EF-1a2_ngenContig4545_-_CDS,Nontoxin,Nontoxin,729,3077,180,878,137,176,103,2089
Ccera-CLP2057ext_EF-1b_ngenContig2988_-_CDS,Nontoxin,Nontoxin,1557,2587,1865,2736,1173,1316,3018,4173
Ccera-CLP2057ext_EF-1d_ngenContig4515_-_CDS,Nontoxin,Nontoxin,612,1073,371,1847,498,879,1159,2573
Ccera-CLP2057ext_EF-1g_ngenContig4672_-_CDS,Nontoxin,Nontoxin,1849,3862,1735,5355,1632,2148,4036,7373
Ccera-CLP2057ext_EF-2_ngenContig4604_-_CDS,Nontoxin,Nontoxin,10199,16153,5227,18828,7902,11360,12794,22119
Ccera-CLP2057ext_EF-B2_ngenContig792_-_CDS,Nontoxin,Nontoxin,145,291,132,324,144,228,202,257
Ccera-CLP2057ext_EF-SPT4_ngenContig218_-_CDS,Nontoxin,Nontoxin,87,55,68,57,58,91,75,72
Ccera-CLP2057ext_EF1_ngenContig297_-_CDS,Nontoxin,Nontoxin,37,30,40,19,20,31,36,34
Ccera-CLP2057ext_EF1-e-1_ngenContig1686_-_CDS,Nontoxin,Nontoxin,118,102,100,156,112,124,160,120
Ccera-CLP2065ngen_EF2Kin_ngenContig893_-_CDS,Nontoxin,Nontoxin,256,462,217,584,103,293,183,625
Ccera-CLP2105ngen_EGK06895_ngenContig3770_-_CDS,Nontoxin,Nontoxin,87,100,60,135,59,72,67,121
Ccera-CLP2071ngen_EHDomain-4_ngenContig1382_-_CDS,Nontoxin,Nontoxin,120,133,101,186,134,146,130,139
Ccera-CLP2057ext_EIF1AD_ngenContig3174_-_CDS,Nontoxin,Nontoxin,57,53,86,80,84,73,107,86
Ccera-CLP2105ngen_ElastaseInhib_ngenContig3096_-_CDS,Nontoxin,Nontoxin,44,72,73,66,81,79,75,73
Ccera-CLP2065ngen_ElecTransferFlava_ngenContig3562_-_CDS,Nontoxin,Nontoxin,118,218,124,230,118,204,136,163
Ccera-CLP2065ngen_ElectronTransFlavo_ngenContig1135_-_CDS,Nontoxin,Nontoxin,113,138,76,152,107,130,80,98
Ccera-CLP2057ext_ELL-2_ngenContig1751_-_CDS,Nontoxin,Nontoxin,360,677,738,681,682,611,766,796
Ccera-CLP2065ngen_Elongation1_ngenContig274_-_CDS,Nontoxin,Nontoxin,44,83,98,239,69,76,97,125
Ccera-CLP2109ngen_EMP2_ngenContig5156_-_CDS,Nontoxin,Nontoxin,5,49,13,19,26,45,14,21
Ccera-CLP2071ngen_emp24-2_ngenContig6226_-_CDS,Nontoxin,Nontoxin,735,908,567,948,839,1311,954,988
Ccera-CLP2057ext_emp24-9_ngenContig3265_-_CDS,Nontoxin,Nontoxin,683,672,770,573,825,958,876,922
Ccera-CLP2057ext_EndophilinB1_ngenContig3049_-_CDS,Nontoxin,Nontoxin,412,638,450,592,432,486,670,673
Ccera-CLP2057ext_Endoplasmin_ngenContig454_-_CDS,Nontoxin,Nontoxin,15549,8001,8190,4555,9362,7186,8192,10063
Ccera-CLP2057ext_EndothelialDiff1_ngenContig3621_-_CDS,Nontoxin,Nontoxin,219,111,17,532,266,461,306,527
Ccera-CLP2071ngen_Engulfment2_ngenContig6573_-_CDS,Nontoxin,Nontoxin,182,195,33,248,110,182,121,231
Ccera-CLP2057ext_EnhBinding-g_ngenContig87_-_CDS,Nontoxin,Nontoxin,52,187,64,122,69,109,77,90
Ccera-CLP2057ext_EnhRudimentary_ngenContig3106_-_CDS,Nontoxin,Nontoxin,72,116,110,96,81,78,113,143
Ccera-CLP2057ext_ENTPDPHydrolase4_ngenContig4059_-_CDS,Nontoxin,Nontoxin,362,513,476,425,764,420,420,313
Ccera-CLP2057ext_ENTPDPHydrolase6_ngenContig627_-_CDS,Nontoxin,Nontoxin,537,497,312,427,264,387,355,599
Ccera-CLP2071ngen_ENTPDPHydrolase7_ngenContig6371_-_CDS,Nontoxin,Nontoxin,312,426,502,350,532,387,368,181
Ccera-CLP2057ext_Epimerase_ngenContig3839_-_CDS,Nontoxin,Nontoxin,241,152,166,190,179,177,657,364
Ccera-CLP2057ext_EpithelCellAdh_ngenContig1873_-_CDS,Nontoxin,Nontoxin,561,760,706,1240,620,641,789,1384
Ccera-CLP2057ext_ER-Golgi2_ngenContig420_-_CDS,Nontoxin,Nontoxin,334,442,280,527,410,345,595,730
Ccera-CLP2071ngen_ER29_ngenContig5384_-_CDS,Nontoxin,Nontoxin,1532,1322,888,1891,1117,1466,1255,2449
Ccera-CLP2057ext_ER44_ngenContig938_-_CDS,Nontoxin,Nontoxin,689,577,717,378,617,319,966,1033
Ccera-CLP2071ngen_ERCC-1_ngenContig256_-_CDS,Nontoxin,Nontoxin,132,211,110,411,157,203,142,203
Ccera-CLP2057ext_ERGGIC1_ngenContig2140_-_CDS,Nontoxin,Nontoxin,1048,551,731,714,514,414,787,1174
Ccera-CLP2071ngen_ERGIC-53_ngenContig5170_-_CDS,Nontoxin,Nontoxin,880,637,815,758,976,1074,1181,868
Ccera-CLP2065ngen_ErgosterolBioSyn-28_ngenContig3802_-_CDS,Nontoxin,Nontoxin,8,16,34,19,14,17,21,21
Ccera-CLP2071ngen_Erlin1_ngenContig350_-_CDS,Nontoxin,Nontoxin,95,222,95,207,125,180,125,158
Ccera-CLP2065ngen_Erlin2_ngenContig6018_-_CDS,Nontoxin,Nontoxin,89,91,127,68,94,92,77,125
Ccera-CLP2068ngen_ERLumen1_ngenContig669_-_CDS,Nontoxin,Nontoxin,43,46,44,46,39,30,47,67
Ccera-CLP2057ext_ERLumenRR2_ngenContig2248_-_CDS,Nontoxin,Nontoxin,583,931,607,785,935,934,789,802
Ccera-CLP2057ext_ERUbiq2_ngenContig2682_-_CDS,Nontoxin,Nontoxin,157,217,135,109,111,71,173,244
Ccera-CLP2071ngen_ErythMem_ngenContig5236_-_CDS,Nontoxin,Nontoxin,1060,2667,1048,2657,733,1354,1596,4873
Ccera-CLP2071ngen_Etoposide_ngenContig3110_-_CDS,Nontoxin,Nontoxin,81,120,92,99,112,59,141,159
Ccera-CLP2057ext_ETS_ngenContig1527_-_CDS,Nontoxin,Nontoxin,337,329,429,524,236,313,338,356
Ccera-CLP2068ngen_ETSElf3_ngenContig1166_-_CDS,Nontoxin,Nontoxin,38,110,99,116,32,22,90,129
Ccera-CLP2065ngen_EukTIF3H_ngenContig5607_-_CDS,Nontoxin,Nontoxin,325,527,428,594,513,539,660,969
Ccera-CLP2057ext_EukTran4E_ngenContig2536_-_CDS,Nontoxin,Nontoxin,176,168,237,185,165,171,255,249
Ccera-CLP2057ext_EvoToll_ngenContig3841_-_CDS,Nontoxin,Nontoxin,195,156,206,163,129,116,231,340
Ccera-CLP2068ngen_ExchangeTrans3_ngenContig3328_-_CDS,Nontoxin,Nontoxin,164,272,321,189,216,269,318,248
Ccera-CLP2057ext_Exocyst7_ngenContig1098_-_CDS,Nontoxin,Nontoxin,316,242,227,454,256,340,297,239
Ccera-CLP2137ngen_ExosomeCom2_ngenContig190_-_CDS,Nontoxin,Nontoxin,48,90,62,112,76,155,146,67
Ccera-KW1109ngen_Exostosin2-1_ngenContig1185_-_CDS,Nontoxin,Nontoxin,39,64,49,57,24,46,45,72
Ccera-CLP2057ext_Ezrin_ngenContig3991_-_CDS,Nontoxin,Nontoxin,919,1581,1367,2088,1118,1265,1782,2952
Ccera-CLP2057ext_facta2_ngenContig214_-_CDS,Nontoxin,Nontoxin,427,472,533,524,286,340,511,650
Ccera-CLP2065ngen_FactinCapa1_ngenContig3457_-_CDS,Nontoxin,Nontoxin,56,64,75,53,42,53,58,71
Ccera-KW1109ngen_FAM107A_ngenContig1282_-_CDS,Nontoxin,Nontoxin,40,35,8,35,6,22,41,63
Ccera-CLP2071ngen_FAM108A_ngenContig5055_-_CDS,Nontoxin,Nontoxin,68,136,37,108,69,77,54,99
Ccera-KW1109ngen_FAM122B_ngenContig6150_-_CDS,Nontoxin,Nontoxin,46,76,52,68,75,69,49,81
Ccera-KW1109ngen_FAM136A_ngenContig5255_-_CDS,Nontoxin,Nontoxin,24,14,12,16,21,32,14,45
Ccera-CLP2057ext_FAM158A_ngenContig4508_-_CDS,Nontoxin,Nontoxin,74,129,126,170,136,169,94,81
Ccera-CLP2065ngen_FAM168B_ngenContig1426_-_CDS,Nontoxin,Nontoxin,28,49,33,31,29,24,60,81
Ccera-CLP2057ext_FAM18B1_ngenContig3608_-_CDS,Nontoxin,Nontoxin,179,124,170,178,165,245,207,179
Ccera-CLP2109ngen_FAM195B_ngenContig4034_-_CDS,Nontoxin,Nontoxin,11,16,11,17,9,13,14,11
Ccera-CLP2057ext_FAM32A_ngenContig2704_-_CDS,Nontoxin,Nontoxin,148,222,161,280,144,245,137,267
Ccera-CLP2057ext_FAM36A_ngenContig1018_-_CDS,Nontoxin,Nontoxin,40,31,38,23,14,39,16,25
Ccera-CLP2065ngen_FAM3A_ngenContig6992_-_CDS,Nontoxin,Nontoxin,88,105,137,109,67,95,76,99
Ccera-CLP2065ngen_FAM3B_ngenContig3240_-_CDS,Nontoxin,Nontoxin,55,153,226,146,52,194,208,330
Ccera-CLP2057ext_FAM3C_ngenContig4823_-_CDS,Nontoxin,Nontoxin,87,122,123,97,112,138,120,121
Ccera-CLP2068ngen_FAM3D_ngenContig2449_-_CDS,Nontoxin,Nontoxin,36,32,75,88,17,54,125,51
Ccera-CLP2057ext_FAM50A_ngenContig1678_-_CDS,Nontoxin,Nontoxin,383,307,286,393,378,378,599,539
Ccera-CLP2065ngen_FAM54B_ngenContig529_-_CDS,Nontoxin,Nontoxin,42,93,42,85,53,75,83,59
Ccera-CLP2071ngen_FarnesylPPSyn_ngenContig1672_-_CDS,Nontoxin,Nontoxin,19,175,21,150,96,86,210,88
Ccera-CLP2057ext_FattyAcidBind_ngenContig348_-_CDS,Nontoxin,Nontoxin,203,76,189,364,101,127,179,109
Ccera-CLP2057ext_FattyCoAReductase1_ngenContig1703_-_CDS,Nontoxin,Nontoxin,376,298,285,470,267,341,438,817
